New column 0,New column 1,New column 2,New column 3,New column 3 Url
"HP Ink Tank 319 All-in-one Colour Printer with upto 15,000 Black and 8,000 Colour pages included in the box - Print, Scan & Copy for Office/Home","12,490",4.1 out of 5 stars,"1,608",https://www.amazon.in/HP-Z6Z13A-All-Colour-Printer/dp/B07C3VZSSB/ref=sr_1_25?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-25#customerReviews
"HP Laserjet M126a B&W Printer for Office: 3-in-1 Print, Copy, Scan, Compact, Durable","18,670",4.2 out of 5 stars,"5,334",https://www.amazon.in/HP-Laserjet-126a-Print-Printer/dp/B00NEG0NTU/ref=sr_1_26?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-26#customerReviews
"HP Deskjet Ink Advantage 2335 Printer, Scanner and Copier for Home for Home for Dependable Printing and scanning, Simple Setup for Everyday Usage, Ideal for Home.",,3.7 out of 5 stars,"1,111",https://www.amazon.in/HP-DeskJet-2335-Advantage-Printer/dp/B08CYRFX24/ref=sr_1_27?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-27#customerReviews
"HP Laserjet 136nw WiFi Printer, Print Copy Scan, Compact Design, Reliable and Fast Printing, Network Support",,4.1 out of 5 stars,469,https://www.amazon.in/HP-4ZB87A-Laser-MFP-136nw/dp/B07SKPVZRV/ref=sr_1_28?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-28#customerReviews
HP Smart Tank 210 Single Function WiFi Colour Printer (Upto 12000 Black and 6000 Colour Pages Included in The Box),,1.0 out of 5 stars,1,https://www.amazon.in/HP-Single-Function-Printer-Included/dp/B0C247P7QY/ref=sr_1_29?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-29#customerReviews
"HP Deskjet 2729 Printer, Copy, Scan, Dual Band WiFi, Bluetooth, USB, Simple Setup Smart App, Ideal for Home.","5,999",3.5 out of 5 stars,"2,496",https://www.amazon.in/HP-DeskJet-2729-Wireless-Printer/dp/B08D9NFGKL/ref=sr_1_30?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356078&sprefix=hp+print%2Caps%2C595&sr=8-30#customerReviews
"HP Ink Tank 419 All-in-one WiFi Colour Printer with 1 Additional Black Ink Bottle in The Box (Upto 15000 Black and 8000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home",,4.2 out of 5 stars,"4,549",https://www.amazon.in/HP-All-Wireless-Color-Printer/dp/B07C3SWZSM/ref=sr_1_35?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-35#customerReviews
"HP MFP M128fn Laserjet Printer: Print, Copy, Scan, Automatic Document Feeder, Ethernet, Fast Printing Upto 20ppm, Easy and Secure Setup, 3 Year Warranty",,4.0 out of 5 stars,254,https://www.amazon.in/HP-LaserJet-Pro-M128fn-Printer/dp/B00KPXGJGQ/ref=sr_1_36?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-36#customerReviews
"HP Ink Tank 530 Color Printer, Scanner, & Copier with High Capacity Tank for Home/Office, B&W Prints, Compact, Easy Mobile Printing",,3.9 out of 5 stars,"1,115",https://www.amazon.in/Smart-Tank-530-AiO-Printer/dp/B07TMFCNXB/ref=sr_1_37?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-37#customerReviews
"HP Smart Tank 525 All-in-one Colour Printer (Upto 6000 Black and 6000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home","11,499",3.5 out of 5 stars,44,https://www.amazon.in/HP-Smart-Colour-Printer-Included/dp/B0BNV6QNLM/ref=sr_1_33?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-33#customerReviews
"HP Smart Tank 515 All-in-One Wireless Ink Tank Colour Printer, High Capacity Tank (6000 Black and 8000 Colour) with Automatic Ink Sensor",,4.0 out of 5 stars,"1,531",https://www.amazon.in/Smart-Tank-515-AiO-Printer/dp/B07TKBP2DX/ref=sr_1_34?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-34#customerReviews
"HP Smart Tank 790 WiFi Duplex Hi-Capacity Tank Printer with Magic Touch Panel with ADF, auto Ink & Paper Sensor (up to 12K Black or 8K Color Pages of Ink)","26,583",4.1 out of 5 stars,931,https://www.amazon.in/HP-Duplex-Hi-Capacity-Printer-Sensor/dp/B09H342LC8/ref=sr_1_35?crid=3147Q87JZY5FV&keywords=HP+Printer&qid=1685356081&sprefix=hp+print%2Caps%2C595&sr=8-35#customerReviews
"HP Laserjet 1008a Monochrome Printer with USB Connectivity, Compact Design, Fast &Affordable Printing",,,,
